14,206,558 13,563,091
Rank	Name	Number	Name	Number
99	Carlos	26,449	Morgan	22,249
100	Cole	26,432	Kimberly	22,132
101	Ryder	26,340	Bailey	21,773
102	Vincent	26,166	Jocelyn	21,377
103	Bryson	25,986	London	21,209
104	Jesus	25,810	Trinity	20,976
105	Micah	25,584	Maria	20,841
106	Mateo	25,516	Andrea	20,663
107	Max	25,298	Reagan	20,231
108	Alex	24,948	Molly	20,132
109	Damian	24,856	Isabelle	20,101
110	Elias	24,837	Rylee	19,934
111	Diego	24,370	Alice	19,536
112	Leo	24,363	Natalia	19,354
113	Eric	24,067	Brooke	19,180
114	Miles	24,013	Payton	18,585
115	Maxwell	23,759	Mary	18,517
116	Hayden	23,250	Hazel	18,378
117	Santiago	22,493	Jade	18,333
118	Leonardo	22,413	Vivian	18,252
119	Bryce	22,405	Liliana	18,217
120	Sawyer	22,355	Lilly	18,126
121	Giovanni	22,099	Mariah	18,116
122	Camden	21,967	Paige	18,036
123	Roman	21,424	Nicole	17,788
124	Timothy	21,239	Clara	17,708
125	Ivan	21,214	Aurora	17,610
126	Antonio	21,118	Eliana	17,586
127	Ashton	21,080	Mya	17,573
128	Braxton	20,813	Brielle	17,399
129	Bryan	20,730	Jordyn	17,368
130	Steven	20,611	Destiny	17,346
131	Ezra	20,587	Hadley	17,289
132	Aidan	20,526	Elena	17,140
133	Miguel	20,248	Cora	17,123
134	Richard	20,243	Quinn	16,997
135	Colin	20,158	Valentina	16,908
136	Jaden	20,149	Angelina	16,433
137	Wesley	20,134	Kendall	16,392
138	Kaleb	20,117	Isabel	16,358
139	Jonah	20,030	Rachel	16,242
140	Declan	19,798	Kaitlyn	15,877
141	Kaiden	19,652	Delilah	15,868
142	Theodore	19,484	Lyla	15,857
143	Axel	19,380	Valeria	15,506
144	Victor	19,337	Vanessa	15,439
145	Joel	19,266	Gabrielle	15,318
146	Kaden	19,263	Sara	15,314
147	Preston	19,178	Mckenzie	15,115
148	Kyle	19,151	Amy	14,989
149	Brian	19,145	Josephine	14,902
150	Silas	19,116	Willow	14,857
151	Alejandro	19,091	Jessica	14,844
152	Greyson	18,969	Reese	14,802
153	Patrick	18,933	Kinsley	14,793
154	George	18,896	Laila	14,791
155	Riley	18,754	Aliyah	14,730
156	Jesse	18,550	Brooklynn	14,651
157	Edward	18,522	Katelyn	14,514
158	Marcus	18,375	Juliana	14,463
159	Harrison	18,129	Gracie	14,382
160	Emmanuel	17,810	Adriana	14,104
161	Weston	17,759	Luna	14,013
162	Jeremy	17,708	Ariel	13,701
163	Sean	17,547	Ximena	13,700
164	Caden	17,513	Eden	13,684
165	Jude	17,504	Ivy	13,662
166	Alan	17,335	Michelle	13,500
167	Brady	17,323	Valerie	13,462
168	Jake	17,311	Elise	13,369
169	Grant	17,297	Rebecca	13,261
170	Maddox	17,277	Margaret	13,200
171	Malachi	16,906	Melody	13,124
172	Oscar	16,332	Makenzie	12,870
173	Brantley	16,291	Adalyn	12,859
174	Ezekiel	16,150	Adeline	12,848
175	Jayce	16,036	Stephanie	12,750
176	Emmett	15,965	Catherine	12,713
177	Kingston	15,776	Daisy	12,576
178	Jameson	15,624	Adalynn	12,549
179	Abel	15,608	Jayla	12,509
180	Kai	15,545	Isla	12,507
181	Mark	15,534	Alaina	12,496
182	Bradley	15,515	Izabella	12,479
183	Everett	15,477	Jennifer	12,461
184	Abraham	15,387	Kylee	12,420
185	Cayden	15,353	Lila	12,281
186	Kenneth	15,082	Summer	12,226
187	Nicolas	15,011	Emery	12,217
188	Calvin	14,929	Londyn	12,088
189	Bennett	14,846	Ryleigh	12,027
190	Tucker	14,800	Julianna	11,942
191	Ryker	14,658	Giselle	11,909
192	Gage	14,222	Emilia	11,902
193	Jase	14,152	Alana	11,898
194	Avery	14,134	Hayden	11,818
195	Paul	14,111	Daniela	11,777
196	Derek	13,874	Angela	11,587
197	Luca	13,763	Norah	11,581
198	Tanner	13,648	Alivia	11,421
199	Rylan	13,549	Kate	11,135
200	Devin	13,402	Harmony	11,102
